Metric,Value
Low-demand threshold,90.0
High-demand threshold,125.0
Fixed-cycle green intervals,558.0
Adaptive green intervals,746.0
Fixed-cycle wasted green,218.0
Adaptive wasted green,100.0
Wasted green reduction (%),54.128
Fixed-cycle wasted green rate (%),39.068
Adaptive wasted green rate (%),13.405
Fixed-cycle missed high-demand,231.0
Adaptive missed high-demand,1.0
Fixed-cycle missed high-demand rate (%),48.837
Adaptive missed high-demand rate (%),0.211
Fixed-cycle total penalty,680.0
Adaptive total penalty,102.0
Penalty reduction (%),85.0
RF Test MAE,18.713
RF Test RMSE,25.31
RF Test R²,0.823
